tanggal,Sentiment_Score
2020-03-25,1.0
2020-03-26,1.0
2020-03-27,1.0
2020-03-29,-1.0
2020-03-30,-1.0
2020-04-01,0.0
2020-04-02,-0.5
2020-04-03,1.0
2020-04-04,-1.0
2020-04-06,1.0
2020-04-08,-1.0
2020-04-09,0.5
2020-04-11,1.0
2020-04-13,-0.5
2020-04-14,0.0
2020-04-15,-1.0
2020-04-16,-1.0
2020-04-17,1.0
2020-04-19,1.0
2020-04-20,-1.0
2020-04-21,-1.0
2020-04-23,1.0
2020-04-24,-0.3333333333333333
2020-04-26,0.0
2020-04-27,0.3333333333333333
2020-04-28,1.0
2020-04-29,0.5
2020-05-04,-1.0
2020-05-05,1.0
2020-05-06,0.3333333333333333
2020-05-08,-0.3333333333333333
2020-05-10,1.0
2020-05-11,1.0
2020-05-12,-1.0
2020-05-13,-1.0
2020-05-15,0.3333333333333333
2020-05-16,0.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,-1.0
2020-05-25,-1.0
2020-05-26,1.0
2020-05-28,1.0
2020-05-29,0.3333333333333333
2020-05-30,1.0
2020-05-31,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-08,1.0
2020-06-09,0.3333333333333333
2020-06-10,-1.0
2020-06-11,-1.0
2020-06-12,0.0
2020-06-16,1.0
2020-06-17,0.5
2020-06-18,-1.0
2020-06-19,0.0
2020-06-21,-1.0
2020-06-23,-1.0
2020-06-24,1.0
2020-06-25,-1.0
2020-06-26,1.0
2020-06-28,-1.0
2020-06-29,-1.0
2020-07-01,1.0
2020-07-02,1.0
2020-07-03,1.0
2020-07-04,1.0
2020-07-06,0.3333333333333333
2020-07-07,0.3333333333333333
2020-07-09,-1.0
2020-07-10,-0.3333333333333333
2020-07-12,-1.0
2020-07-13,1.0
2020-07-14,0.3333333333333333
2020-07-15,-0.3333333333333333
2020-07-17,-1.0
2020-07-19,-1.0
2020-07-20,-1.0
2020-07-21,1.0
2020-07-22,0.0
2020-07-23,1.0
2020-07-27,1.0
2020-07-28,0.3333333333333333
2020-07-29,-1.0
2020-07-30,0.3333333333333333
2020-08-03,-1.0
2020-08-05,0.0
2020-08-06,0.3333333333333333
2020-08-07,-1.0
2020-08-10,0.3333333333333333
2020-08-11,0.0
2020-08-13,1.0
2020-08-14,-0.3333333333333333
2020-08-18,0.3333333333333333
2020-08-19,-0.3333333333333333
2020-08-23,-1.0
2020-08-24,0.3333333333333333
2020-08-26,1.0
2020-08-27,1.0
2020-08-28,0.3333333333333333
2020-08-29,1.0
2020-08-31,0.0
2020-09-01,0.3333333333333333
2020-09-03,0.0
2020-09-04,-1.0
2020-09-05,-1.0
2020-09-06,-1.0
2020-09-07,-1.0
2020-09-08,1.0
2020-09-09,-1.0
2020-09-10,-1.0
2020-09-11,-0.7142857142857143
2020-09-12,-1.0
