Date,Close,Open,High,Low,Volume,Change%
10/10/2018,5820.67,5815.29,5832.93,5798.74,"6,83B","0,41%"
11/10/2018,5702.82,5734.0,5746.24,5669.72,"9,05B","-2,02%"
12/10/2018,5756.49,5722.49,5788.68,5722.49,"6,02B","0,94%"
15/10/2018,5727.26,5786.66,5816.04,5725.58,"6,51B","-0,51%"
16/10/2018,5800.82,5737.94,5800.82,5719.51,"6,49B","1,28%"
17/10/2018,5868.62,5833.25,5868.62,5819.18,"6,46B","1,17%"
18/10/2018,5845.24,5850.12,5858.79,5811.93,"6,28B","-0,40%"
19/10/2018,5837.29,5810.13,5861.99,5796.78,"6,35B","-0,14%"
22/10/2018,5840.44,5841.42,5869.65,5827.63,"6,86B","0,05%"
23/10/2018,5797.89,5838.69,5848.04,5797.34,"6,16B","-0,73%"
24/10/2018,5709.42,5795.75,5818.84,5709.42,"7,16B","-1,53%"
25/10/2018,5754.97,5629.95,5754.97,5623.84,"5,16B","0,80%"
26/10/2018,5784.92,5761.45,5790.95,5748.61,"5,25B","0,52%"
29/10/2018,5754.61,5788.93,5814.68,5747.03,"4,96B","-0,52%"
30/10/2018,5789.1,5755.02,5789.1,5733.24,"5,97B","0,60%"
31/10/2018,5831.65,5817.49,5835.17,5769.55,"6,99B","0,73%"
01/11/2018,5835.92,5855.22,5883.22,5815.76,"6,32B","0,07%"
02/11/2018,5906.29,5873.01,5906.29,5827.15,"6,70B","1,21%"
05/11/2018,5920.59,5895.24,5926.64,5886.21,"5,37B","0,24%"
06/11/2018,5923.93,5942.32,5959.97,5898.56,"5,33B","0,06%"
07/11/2018,5939.89,5942.22,5947.61,5891.14,"6,25B","0,27%"
08/11/2018,5976.81,5972.33,5996.84,5949.52,"7,32B","0,62%"
09/11/2018,5874.15,5934.18,5936.03,5859.09,"6,53B","-1,72%"
12/11/2018,5777.05,5865.74,5884.08,5777.05,"5,55B","-1,65%"
13/11/2018,5835.2,5754.6,5850.38,5747.53,"5,89B","1,01%"
14/11/2018,5858.29,5857.72,5896.8,5851.79,"7,28B","0,40%"
15/11/2018,5955.74,5885.22,5960.4,5880.21,"6,01B","1,66%"
16/11/2018,6012.35,5975.11,6058.82,5968.67,"6,11B","0,95%"
19/11/2018,6005.3,6028.34,6036.99,5974.14,"5,60B","-0,12%"
21/11/2018,5948.05,5942.2,5978.6,5908.0,"6,43B","-0,95%"
22/11/2018,5990.81,5936.66,5997.64,5936.66,"7,66B","0,72%"
23/11/2018,6006.2,5998.03,6017.46,5971.99,"6,26B","0,26%"
26/11/2018,6022.78,5997.73,6025.99,5990.98,"6,72B","0,28%"
27/11/2018,6013.59,6002.39,6034.18,5992.88,"6,92B","-0,15%"
28/11/2018,5991.25,6027.58,6030.9,5990.35,"7,24B","-0,37%"
29/11/2018,6107.17,6030.74,6107.17,6029.66,"7,19B","1,93%"
